[2020-04-14 11:22:26] Debug: [] [0] style: "background-color:rgb(203,199,131);"
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect: No such signal qt::zchxMapWidget::signalCreateWarringLINE(ZCHX::Data::ITF_WarringZone)
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect:  (receiver name: 'MainWindow')
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect: No such slot qt::MainWindow::onSignalSendCurPos(double,double)
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect:  (receiver name: 'MainWindow')
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect: No such signal qt::zchxMapWidget::signalIsSelected4CameraVideoWarn(ZCHX::Data::ITF_CameraVideoWarn)
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect:  (receiver name: 'MainWindow')
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect: No such signal qt::zchxMapWidget::signalIsSelected4CameraDev(ZCHX::Data::ITF_CameraRod)
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect:  (receiver name: 'MainWindow')
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect: No such signal qt::zchxMapWidget::signalIsDoubleClicked4WarringLine(ZCHX::Data::ITF_WarringZone)
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect:  (receiver name: 'MainWindow')
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect: No such signal qt::zchxMapWidget::signalIsDoubleClicked4CameraVideoWarn(ZCHX::Data::ITF_CameraVideoWarn)
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect:  (receiver name: 'MainWindow')
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect: No such signal qt::MainWindow::signalIsDoubleClicked4ChannelZone(ZCHX::Data::ITF_Channel)
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect:  (receiver name: 'MainWindow')
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect: No such signal qt::MainWindow::signalIsDoubleClicked4MooringZone(ZCHX::Data::ITF_Mooring)
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect:  (receiver name: 'MainWindow')
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect: No such signal qt::MainWindow::signalIsDoubleClicked4CardMouthZone(ZCHX::Data::ITF_CardMouth)
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect:  (receiver name: 'MainWindow')
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect: No such signal qt::MainWindow::signalIsDoubleClicked4StatistcLineZone(ZCHX::Data::ITF_StatistcLine)
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect:  (receiver name: 'MainWindow')
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\testmainwindow.cpp] [565] 0 "Ais" true
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\testmainwindow.cpp] [565] 1 "Ais盲区示意图" true
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\radar\zchxradarutils.cpp] [84] start connect to server: "127.0.0.1" "5153" ("AIS")
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\testmainwindow.cpp] [565] 2 "雷达目标" true
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\radar\zchxradarutils.cpp] [84] start connect to server: "127.0.0.1" "5153" ("Chart")
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\radar\zchxradarutils.cpp] [60] connect to server succeed. tcp://127.0.0.1:5153
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\testmainwindow.cpp] [565] 3 "雷达回波图像" true
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\radar\zchxradarutils.cpp] [84] start connect to server: "127.0.0.1" "5151" ("RadarTrack")
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\radar\zchxradarutils.cpp] [60] connect to server succeed. tcp://127.0.0.1:5153
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\testmainwindow.cpp] [565] 4 "雷达目标余晖" true
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\radar\zchxradarutils.cpp] [84] start connect to server: "127.0.0.1" "5689" ("RadarVideo")
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\radar\zchxradarutils.cpp] [60] connect to server succeed. tcp://127.0.0.1:5151
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\testmainwindow.cpp] [565] 5 "雷达屏蔽区域" true
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\radar\zchxradarutils.cpp] [84] start connect to server: "127.0.0.1" "5657" ("RadarRect")
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\radar\zchxradarutils.cpp] [60] connect to server succeed. tcp://127.0.0.1:5689
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\radar\zchxradarutils.cpp] [84] start connect to server: "127.0.0.1" "10086" ("Limit_Area")
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\radar\zchxradarutils.cpp] [60] connect to server succeed. tcp://127.0.0.1:5657
[2020-04-14 11:22:26] Debug: [..\..\..\..\cloud\radar\kakou_zchxtilemap\app\radar\zchxradarutils.cpp] [60] connect to server succeed. tcp://127.0.0.1:10086
[2020-04-14 11:22:26] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect: Incompatible sender/receiver arguments
        QNetworkSessionPrivateImpl::stateChanged(QNetworkSession::State) --> QNetworkSession::stateChanged(QNetworkSession::State)
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect: Incompatible sender/receiver arguments
        QNetworkSessionPrivateImpl::stateChanged(QNetworkSession::State) --> QNetworkSession::stateChanged(QNetworkSession::State)
[2020-04-14 11:22:26] Warning: [] [0] QObject::connect: Incompatible sender/receiver arguments
        QNetworkSessionPrivateImpl::stateChanged(QNetworkSession::State) --> QNetworkSession::stateChanged(QNetworkSession::State)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:26] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:27] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now pixmap offset is: QSize(0, 0)
